,id,probe_insertion,x,y,z,depth,theta,phi,roll,provenance,probe_name,coordinate_system,datetime,json,subject,start_time,number,lab,task_protocol
982,98f0962a-c56f-4b0f-9b51-e9884eca9161,e713ee9a-f58c-4f25-88a4-108d4cc7bdd6,-3180.66588059548,-4192.43571953895,-818.0,3885.65131990889,14.6553751141779,-170.818729016441,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-17T16:36:06,3.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
981,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,478e87a1-96e8-4c99-a119-5a6f6d804863,2478.19871032138,-3733.02273695146,-318.0,3808.81145750902,9.73024298706258,0.204218107841011,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
6,ac935c7e-0de7-42d7-b751-a29d7de74fe0,03138811-7e7c-4891-a0ea-55f8fca90751,2724.45737166242,-3798.67762594336,-443.0,3655.92683617475,12.1623282671612,-3.22599764210131,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-18T11:19:52,4.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
171,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,d4f59b9b-4a1d-4a79-bf7c-c8d17a901cdb,-2925.8,-3950.5,-1088.5,3500.3,10.0,180.0,0.0,Micro-manipulator,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
980,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,d4f59b9b-4a1d-4a79-bf7c-c8d17a901cdb,-3048.22844270834,-4037.91075946788,-643.0,4113.59611078276,14.8788503776172,-175.330255304094,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
12,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,478e87a1-96e8-4c99-a119-5a6f6d804863,2816.5,-3754.8,-769.4,3301.5,10.0,0.0,0.0,Micro-manipulator,probe01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
252,fa704052-147e-46f6-b190-a65b837e605e,00a824c0-e060-495f-9ebc-79c82fef4c67,-1234.0,-3091.2,-628.0,3425.0,15.0,180.0,0.0,Micro-manipulator,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
628,7939711b-8b4d-4251-b698-b97c1eaa846e,e070023a-2a5d-4398-ad66-f9ed5d517ad1,1794.64651589644,-5952.97283107087,-843.0,5844.95928283716,10.832271960027,26.9982253812584,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
95,034e726f-b35f-41e0-8d6c-a22cc32391fb,8fbfa285-d721-4a1a-8c18-f36652c17909,-2874.47292425609,-2298.49260907355,-318.0,4110.73148420325,8.59953019741108,179.545055638794,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
255,034e726f-b35f-41e0-8d6c-a22cc32391fb,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,-804.0,-250.0,-265.0,6476.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
