,lab_name,subject_nickname,level_2,bias,threshold,lapselow,lapsehigh,easy_correct,zero_contrast,median_rt,mean_rt,easy_correct_perday,ntrials_perday
0,angelakilab,IBL-T1,0,-0.6744114771270162,6.2578910670623795,0.03174213549402881,0.03570298651259689,0.9804560260586319,0.5726495726495726,0.3993999999999005,1.770281158238178,[1.         0.97487437 0.97816594 0.97894737],[ 81 895 902 349]
1,angelakilab,IBL-T2,0,4.398578438950518,13.167995487708307,0.010119205198479636,0.0270764077367679,0.9823943661971831,0.3192982456140351,0.38859999999988304,1.3620135987978996,[0.97849462 0.98688525 1.        ],[ 394 1222  766]
2,angelakilab,IBL-T3,0,0.0934283377975311,18.594698498596763,0.07541392476144146,0.015217152126557817,0.9834437086092715,0.5425101214574899,0.24769999999993786,1.074001699834162,[0.935      0.96335079 0.97311828],[675 820 710]
3,angelakilab,IBL-T4,0,0.9990487965688781,9.972745585241753,0.017167368033108362,0.05555476775926042,0.9607969151670951,0.4177215189873418,0.3352999999999611,1.8765506469245146,"[1.         0.98469388 0.98161765 0.99033816 1.         0.992
 1.         0.97338403 0.99411765 0.97247706 0.90350877 0.98214286
 0.79120879 1.         1.         1.         0.84782609 0.96521739
 0.97209302 0.95454545]","[ 674  798 1034  885  373  524  590 1072  692  868  457  539  365  423
  779  643  215  511  869  620]"
4,angelakilab,NYU-01,0,-3.7475140300580128,17.615625097897407,0.12386286262413708,0.1353274031443528,0.926829268292683,0.6438356164383562,4.157900000000154,5.852229251700683,[0.97222222 0.94117647 0.86567164],[138 274 256]
5,angelakilab,NYU-02,0,6.502776524551399,13.045525996840365,0.0687337265739183,0.11286052351774552,0.8979591836734694,0.225531914893617,0.3937999999998283,2.3205205292360223,[0.95       0.87012987 0.93975904],[711 676 728]
6,churchlandlab,CSHL_001,0,3.2481004941405582,12.58555550424246,0.22033897623302873,0.16538804020100695,0.8513011152416357,0.4143835616438356,0.18680000000006203,0.4889877260484831,[0.85572139 0.79389313 0.79230769],[824 495 988]
7,churchlandlab,CSHL_002,0,1.0136213085868406,14.607704722215892,0.049893141597748186,0.18251599139215516,0.8401639344262295,0.41702127659574467,0.2091500000000046,0.4465515699333984,[0.90410959 0.87234043 0.91828794],[ 280  568 1019]
8,churchlandlab,CSHL_003,0,0.6991983890659101,11.657227683619919,0.13181771498330727,0.07635823307598247,0.9512195121951219,0.5210727969348659,0.2522999999999911,0.9295584843492591,[0.90666667 0.90849673 0.95597484],[873 603 692]
9,churchlandlab,CSHL_005,0,1.3146073658314599,12.665174609166648,0.2278940243181848,0.04798851905776716,0.9714104193138501,0.5287907869481766,0.21240000000000236,0.41573371575826074,"[0.88785047 1.         0.98473282 0.94298246 0.96791444 0.94470046
 0.90196078 0.9339207  0.95705521 0.96888889 0.99555556 0.52719665
 0.68518519 0.86885246 0.8677686  0.91304348 0.69594595 0.76744186
 0.95299145 0.97826087 0.95522388 0.91584158 0.9138756  0.95067265
 0.96356275 0.94594595 0.83050847 0.8364486  0.92857143 0.95575221]","[ 371  388  971  948  715  866 1001  794  710 1005  965 1036 1118 1100
 1001  889 1089  963 1011  841  273  867  856  926  900  972  899  722
  148  929]"
10,churchlandlab,CSHL_007,0,-5.551336213709773,12.859253357485347,0.3442953048395421,0.008587890343445639,0.9906542056074766,0.8141592920353983,1.070799999999963,4.4847979264844495,[0.76       0.91666667 0.8313253 ],[224 396 336]
11,churchlandlab,CSHL_008,0,-0.9556046414876116,13.975869220656486,0.07722935644323953,0.05184132313859832,0.9601990049751243,0.5132275132275133,0.37940000000025975,1.3043486181613055,[0.95798319 0.96899225 0.93478261],[484 497 603]
12,churchlandlab,CSHL_010,0,3.8034005232508807,14.578739513925912,0.17118945356432974,0.02324718302684455,0.9883040935672515,0.452914798206278,0.3652999999999338,1.0448859025787964,[0.86315789 0.92857143 0.9084507 ],[425 569 529]
13,churchlandlab,IBL_1,0,0.1616922856951281,9.236262410016483,0.008450580825374383,0.07710110040001925,0.9407894736842105,0.5333333333333333,0.3526000000000522,2.1734911421911383,[0.94117647 0.98245614 0.98019802],[328 464 397]
14,churchlandlab,IBL_10,0,3.753168516623754,14.055491213150109,0.010170227114742489,0.052994252277298586,0.9694323144104804,0.37,3.705000000000041,9.344708695652212,[0.97033898 0.99350649 1.        ],[722 589 217]
15,churchlandlab,IBL_11,0,-2.057964072555449,17.193651381685456,0.013110715639300732,0.014159380794533414,0.9841269841269841,0.5892857142857143,0.9801500000000942,5.786129885057463,[1.         0.97647059 0.97142857],[354 335 285]
16,churchlandlab,IBL_13,0,0.5201669204732946,10.746252657723169,0.005617209942736999,0.009597220203043383,0.9857142857142858,0.4485981308411215,0.29520000000002256,0.8559331714424478,[0.97986577 1.         1.        ],[594 540 717]
17,churchlandlab,IBL_16,0,-0.5351490710038376,7.389471235967909,0.0061953065464577985,0.009722686001171866,0.9947643979057592,0.6354166666666666,0.3310000000000741,0.7452769982237994,[1.         0.99180328 0.99319728],[503 502 499]
18,churchlandlab,IBL_17,0,-0.4424102690489225,10.505839185156079,0.0015619380066886571,0.006072622049161494,0.9961089494163424,0.5652173913043478,0.28785000000003436,0.594644805781393,[1.         1.         0.99583333],[706 341 916]
19,churchlandlab,IBL_34,0,0.8421321192530151,15.514449471546786,0.01842486416605589,0.05075166957038288,0.9476190476190476,0.4444444444444444,0.2352499999999509,1.2109217158176904,[0.91869919 0.99173554 0.98850575],[506 476 649]
